Kod teryt.;Nazwa jednostki;Liczba mieszkańców;Liczba wyborców ujętych w rejestrze wyborców
020101;m. Bolesławiec;37456;31446
020102;gm. Bolesławiec;13760;11055
020103;gm. Gromadka;5438;4563
020104;gm. Nowogrodziec;15071;11986
020105;gm. Osiecznica;6924;5484
020106;gm. Warta Bolesławiecka;8474;6753
020201;m. Bielawa;29939;25393
020202;m. Dzierżoniów;32730;27710
020203;m. Pieszyce;9343;7691
020204;m. Piława Górna;6416;5338
020205;gm. Dzierżoniów;9242;7620
020206;gm. Łagiewniki;7489;6104
020207;gm. Niemcza;5678;4774
020301;m. Głogów;65995;54273
020302;gm. Głogów;6606;5235
020303;gm. Jerzmanowa;4723;3584
020304;gm. Kotla;4396;3427
020305;gm. Pęcław;2275;1783
020306;gm. Żukowice;3506;2793
020401;gm. Góra;20218;16307
020402;gm. Jemielno;3119;2499
020403;gm. Niechlów;4971;3983
020404;gm. Wąsosz;7366;5959
020501;m. Jawor;23479;19746
020502;gm. Bolków;10592;8717
020503;gm. Męcinka;4969;3974
020504;gm. Mściwojów;4095;3318
020505;gm. Paszowice;3954;3227
020506;gm. Wądroże Wielkie;4075;3265
020601;m. Karpacz;4847;4181
020602;m. Kowary;10690;8975
020603;m. Piechowice;6294;5297
020604;m. Szklarska Poręba;6382;5471
020605;gm. Janowice Wielkie;4216;3453
020606;gm. Jeżów Sudecki;7094;5702
020607;gm. Mysłakowice;10052;8277
020608;gm. Podgórzyn;8070;6707
020609;gm. Stara Kamienica;5205;4257
020701;m. Kamienna Góra;19447;16334
020702;gm. Kamienna Góra;9022;7104
020703;gm. Lubawka;11146;9258
020704;gm. Marciszów;4596;3774
020801;m. Duszniki-Zdrój;4689;4017
020802;m. Kłodzko;26350;22272
020803;m. Kudowa-Zdrój;9970;8334
020804;m. Nowa Ruda;22608;19232
020805;m. Polanica-Zdrój;6425;5560
020806;gm. Bystrzyca Kłodzka;18953;16003
020807;gm. Kłodzko;17164;14010
020808;gm. Lądek-Zdrój;8287;7080
020809;gm. Lewin Kłodzki;1964;1622
020810;gm. Międzylesie;7311;6054
020811;gm. Nowa Ruda;11864;9835
020812;gm. Radków;9117;7540
020813;gm. Stronie Śląskie;7255;6122
020814;gm. Szczytna;7330;5981
020901;m. Chojnów;13330;11167
020902;gm. Chojnów;9414;7682
020903;gm. Krotoszyce;3202;2562
020904;gm. Kunice;6277;5014
020905;gm. Legnickie Pole;5079;3814
020906;gm. Miłkowice;6355;5204
020907;gm. Prochowice;7468;6061
020908;gm. Ruja;2707;2149
021001;m. Lubań;21083;17769
021002;m. Świeradów-Zdrój;4264;3569
021003;gm. Leśna;10162;8249
021004;gm. Lubań;6533;5244
021005;gm. Olszyna;6517;5412
021006;gm. Platerówka;1635;1329
021007;gm. Siekierczyn;4525;3695
021101;m. Lubin;71083;59069
021102;gm. Lubin;14752;11785
021103;gm. Rudna;7752;6181
021104;gm. Ścinawa;9919;8183
021201;gm. Gryfów Śląski;9751;8173
021202;gm. Lubomierz;5978;4888
021203;gm. Lwówek Śląski;17395;14316
021204;gm. Mirsk;8575;7159
021205;gm. Wleń;4298;3626
021301;gm. Cieszków;4752;3731
021302;gm. Krośnice;8107;6416
021303;gm. Milicz;24178;19420
021401;m. Oleśnica;36517;30127
021402;gm. Bierutów;9985;8228
021403;gm. Dobroszyce;6483;5180
021404;gm. Dziadowa Kłoda;4635;3646
021405;gm. Międzybórz;5080;4010
021406;gm. Oleśnica;12701;10046
021407;gm. Syców;16456;13349
021408;gm. Twardogóra;12909;10480
021501;m. Oława;31441;25799
021502;gm. Domaniów;5293;4220
021503;gm. Jelcz-Laskowice;22352;18177
021504;gm. Oława;14948;11834
021601;gm. Chocianów;12824;10403
021602;gm. Gaworzyce;3943;3131
021603;gm. Grębocice;5319;4211
021604;gm. Polkowice;26344;21070
021605;gm. Przemków;8598;7015
021606;gm. Radwanice;4703;3744
021701;gm. Borów;5275;4373
021702;gm. Kondratowice;4555;3691
021703;gm. Przeworno;4970;4092
021704;gm. Strzelin;21491;17766
021705;gm. Wiązów;7374;6001
021801;gm. Kostomłoty;7128;5779
021802;gm. Malczyce;5833;4811
021803;gm. Miękinia;14135;11164
021804;gm. Środa Śląska;19272;15764
021805;gm. Udanin;5407;4464
021901;m. Świdnica;56192;47388
021902;m. Świebodzice;22232;18542
021903;gm. Dobromierz;5322;4348
021904;gm. Jaworzyna Śląska;10305;8420
021905;gm. Marcinowice;6408;5208
021906;gm. Strzegom;26200;21707
021907;gm. Świdnica;16731;13412
021908;gm. Żarów;12520;10199
022001;gm. Oborniki Śląskie;19442;15720
022002;gm. Prusice;9308;7543
022003;gm. Trzebnica;23116;18461
022004;gm. Wisznia Mała;9661;7808
022005;gm. Zawonia;5797;4660
022006;gm. Żmigród;14680;11871
022101;m. Boguszów-Gorce;15335;12924
022102;m. Jedlina-Zdrój;4750;3951
022103;m. Szczawno-Zdrój;5594;4799
022104;gm. Czarny Bór;4844;3904
022105;gm. Głuszyca;8648;7328
022106;gm. Mieroszów;6643;5609
022107;gm. Stare Bogaczowice;4178;3417
022108;gm. Walim;5560;4652
022201;gm. Brzeg Dolny;15724;13094
022202;gm. Wińsko;8502;7005
022203;gm. Wołów;22275;18405
022301;gm. Czernica;13167;10258
022302;gm. Długołęka;27590;21619
022303;gm. Jordanów Śląski;3154;2574
022304;gm. Kąty Wrocławskie;21490;16908
022305;gm. Kobierzyce;17909;13719
022306;gm. Mietków;3866;3150
022307;gm. Sobótka;12637;10351
022308;gm. Siechnice;18966;14746
022309;gm. Żórawina;9899;7951
022401;gm. Bardo;5385;4424
022402;gm. Ciepłowody;3137;2580
022403;gm. Kamieniec Ząbkowicki;8383;6929
022404;gm. Stoszowice;5480;4506
022405;gm. Ząbkowice Śląskie;21799;18362
022406;gm. Ziębice;17421;14448
022407;gm. Złoty Stok;4625;3868
022501;m. Zawidów;4222;3481
022502;m. Zgorzelec;30468;25993
022503;gm. Bogatynia;23670;19333
022504;gm. Pieńsk;8999;7384
022505;gm. Sulików;6126;4923
022506;gm. Węgliniec;8512;7033
022507;gm. Zgorzelec;8311;6762
022601;m. Wojcieszów;3714;3088
022602;m. Złotoryja;15560;13030
022603;gm. Pielgrzymka;4675;3748
022604;gm. Świerzawa;7686;6281
022605;gm. Zagrodno;5452;4487
022606;gm. Złotoryja;7099;5734
026101;m. Jelenia Góra;77175;65784
026201;m. Legnica;95665;79785
026401;m. Wrocław;586390;488481
026501;m. Wałbrzych;108588;92657
040101;m. Aleksandrów Kujawski;12036;9839
040102;m. Ciechocinek;10231;8748
040103;m. Nieszawa;1991;1649
040104;gm. Aleksandrów Kujawski;11545;9077
