"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców wpisanych z urzędu";"Liczba wyborców wpisanych na wniosek";"Informacja o liczbie wyborców wpisanych ogółem (art. 19) w części A";"Informacja o liczbie wyborców wpisanych § 1 (Z2A)";"Informacja o liczbie wyborców wpisanych § 2 (Z2B)";"Informacja o liczbie wyborców wpisanych § 3 (Z2C)";"Informacja o liczbie wyborców wpisanych w części B (ZUE)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 1) w części A ogółem";"Informacja o liczbie wyborców skreślonych w części A pkt 1 (R41)";"Informacja o liczbie wyborców skreślonych w części A pkt 2 (R42)";"Informacja o liczbie wyborców skreślonych w części A pkt 3 (R43)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 2) w części A (R41b)";"Informacja o liczbie wyborców skreślonych w części B ogółem (RUE)"
"Powiat bolesławiecki";"";"";"";85788;69865;69381;484;481;407;13;61;3;696;206;429;61;0;0
"=""020101""";"m. Bolesławiec";"bolesławiecki";"Jelenia Góra";36307;30221;30142;79;79;63;2;14;0;359;88;257;14;0;0
"=""020102""";"gm. Bolesławiec";"bolesławiecki";"Jelenia Góra";14136;11303;11255;48;48;39;0;9;0;85;30;46;9;0;0
"=""020103""";"gm. Gromadka";"bolesławiecki";"Jelenia Góra";5331;4392;4256;136;134;116;7;11;2;64;19;34;11;0;0
"=""020104""";"gm. Nowogrodziec";"bolesławiecki";"Jelenia Góra";14827;11804;11759;45;45;41;0;4;0;69;33;32;4;0;0
"=""020105""";"gm. Osiecznica";"bolesławiecki";"Jelenia Góra";6704;5374;5246;128;128;112;0;16;0;47;8;23;16;0;0
"=""020106""";"gm. Warta Bolesławiecka";"bolesławiecki";"Jelenia Góra";8483;6771;6723;48;47;36;4;7;1;72;28;37;7;0;0
"Powiat dzierżoniowski";"";"";"";96754;80863;80415;448;446;348;11;87;2;881;256;538;87;0;0
"=""020201""";"m. Bielawa";"dzierżoniowski";"Wałbrzych";28720;24340;24218;122;122;90;0;32;0;251;93;126;32;0;0
"=""020202""";"m. Dzierżoniów";"dzierżoniowski";"Wałbrzych";31146;26113;26059;54;54;41;4;9;0;340;78;253;9;0;0
"=""020203""";"m. Pieszyce";"dzierżoniowski";"Wałbrzych";9110;7488;7363;125;124;100;7;17;1;74;21;36;17;0;0
"=""020204""";"m. Piława Górna";"dzierżoniowski";"Wałbrzych";6051;5044;5023;21;21;13;0;8;0;45;12;25;8;0;0
"=""020205""";"gm. Dzierżoniów";"dzierżoniowski";"Wałbrzych";8999;7374;7360;14;14;11;0;3;0;61;20;38;3;0;0
"=""020206""";"gm. Łagiewniki";"dzierżoniowski";"Wałbrzych";7365;5989;5911;78;77;65;0;12;1;51;7;32;12;0;0
"=""020207""";"gm. Niemcza";"dzierżoniowski";"Wałbrzych";5363;4515;4481;34;34;28;0;6;0;59;25;28;6;0;0
"Powiat głogowski";"";"";"";85021;69108;68550;558;558;465;22;71;0;1072;191;810;71;0;0
"=""020301""";"m. Głogów";"głogowski";"Legnica";63162;51917;51709;208;208;155;0;53;0;905;139;713;53;0;0
"=""020302""";"gm. Głogów";"głogowski";"Legnica";6736;5325;5229;96;96;91;2;3;0;49;11;35;3;0;0
"=""020303""";"gm. Jerzmanowa";"głogowski";"Legnica";5137;3949;3820;129;129;125;0;4;0;30;7;19;4;0;0
"=""020304""";"gm. Kotla";"głogowski";"Legnica";4378;3445;3415;30;30;24;0;6;0;32;10;16;6;0;0
"=""020305""";"gm. Pęcław";"głogowski";"Legnica";2198;1754;1734;20;20;18;1;1;0;21;7;13;1;0;0
"=""020306""";"gm. Żukowice";"głogowski";"Legnica";3410;2718;2643;75;75;52;19;4;0;35;17;14;4;0;0
"Powiat górowski";"";"";"";34109;27708;27388;320;318;265;2;51;2;381;102;228;51;0;0
"=""020401""";"gm. Góra";"górowski";"Wrocław";19222;15609;15523;86;86;59;0;27;0;238;61;150;27;0;0
"=""020402""";"gm. Jemielno";"górowski";"Wrocław";3024;2426;2387;39;39;37;1;1;0;28;7;20;1;0;0
"=""020403""";"gm. Niechlów";"górowski";"Wrocław";4737;3853;3799;54;53;40;1;12;1;54;20;22;12;0;0
"=""020404""";"gm. Wąsosz";"górowski";"Wrocław";7126;5820;5679;141;140;129;0;11;1;61;14;36;11;0;0
"Powiat jaworski";"";"";"";49066;40542;40264;278;277;237;3;37;1;520;155;328;37;0;0
"=""020501""";"m. Jawor";"jaworski";"Jelenia Góra";22073;18573;18498;75;75;62;0;13;0;281;71;197;13;0;0
"=""020502""";"gm. Bolków";"jaworski";"Jelenia Góra";10112;8308;8274;34;33;19;0;14;1;94;31;49;14;0;0
"=""020503""";"gm. Męcinka";"jaworski";"Jelenia Góra";4916;3985;3920;65;65;60;0;5;0;34;8;21;5;0;0
"=""020504""";"gm. Mściwojów";"jaworski";"Jelenia Góra";4034;3229;3190;39;39;38;0;1;0;36;10;25;1;0;0
"=""020505""";"gm. Paszowice";"jaworski";"Jelenia Góra";3923;3225;3197;28;28;25;3;0;0;35;12;23;0;0;0
"=""020506""";"gm. Wądroże Wielkie";"jaworski";"Jelenia Góra";4008;3222;3185;37;37;33;0;4;0;40;23;13;4;0;0
