"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców ujętych w stałym obwodzie w CRW z urzędu na podstawie adresu stałego zameldowania";"Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek";"w tym liczba wyborców posiadających obywatelstwo krajów UE";"w tym liczba wyborców posiadających obywatelstwo UK";"Liczba osób pozbawionych prawa wybierania ogółem";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo krajów UE";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo UK"
"Powiat bolesławiecki";"";"";"";83336;67930;67543;387;3;0;206;0;0
"=""020101""";"m. Bolesławiec";"bolesławiecki";"Jelenia Góra";34491;28869;28801;68;0;0;92;0;0
"=""020102""";"gm. Bolesławiec";"bolesławiecki";"Jelenia Góra";14657;11597;11555;42;0;0;26;0;0
"=""020103""";"gm. Gromadka";"bolesławiecki";"Jelenia Góra";5113;4181;4082;99;2;0;18;0;0
"=""020104""";"gm. Nowogrodziec";"bolesławiecki";"Jelenia Góra";14407;11480;11439;41;0;0;34;0;0
"=""020105""";"gm. Osiecznica";"bolesławiecki";"Jelenia Góra";6475;5242;5136;106;0;0;9;0;0
"=""020106""";"gm. Warta Bolesławiecka";"bolesławiecki";"Jelenia Góra";8193;6561;6530;31;1;0;27;0;0
"Powiat dzierżoniowski";"";"";"";90648;75931;75507;424;2;0;226;0;0
"=""020201""";"m. Bielawa";"dzierżoniowski";"Wałbrzych";26792;22677;22558;119;0;0;73;0;0
"=""020202""";"m. Dzierżoniów";"dzierżoniowski";"Wałbrzych";28710;24321;24256;65;0;0;81;0;0
"=""020203""";"gm. Pieszyce";"dzierżoniowski";"Wałbrzych";8557;7073;6975;98;1;0;21;0;0
"=""020204""";"m. Piława Górna";"dzierżoniowski";"Wałbrzych";5714;4729;4713;16;0;0;8;0;0
"=""020205""";"gm. Dzierżoniów";"dzierżoniowski";"Wałbrzych";8745;7121;7104;17;0;0;20;0;0
"=""020206""";"gm. Łagiewniki";"dzierżoniowski";"Wałbrzych";7156;5833;5754;79;1;0;7;0;0
"=""020207""";"gm. Niemcza";"dzierżoniowski";"Wałbrzych";4974;4177;4147;30;0;0;16;0;0
"Powiat głogowski";"";"";"";81281;66425;65952;473;0;0;186;0;0
"=""020301""";"m. Głogów";"głogowski";"Legnica";58982;48943;48762;181;0;0;135;0;0
"=""020302""";"gm. Głogów";"głogowski";"Legnica";6966;5489;5387;102;0;0;13;0;0
"=""020303""";"gm. Jerzmanowa";"głogowski";"Legnica";5607;4289;4187;102;0;0;9;0;0
"=""020304""";"gm. Kotla";"głogowski";"Legnica";4331;3414;3386;28;0;0;9;0;0
"=""020305""";"gm. Pęcław";"głogowski";"Legnica";2082;1659;1646;13;0;0;8;0;0
"=""020306""";"gm. Żukowice";"głogowski";"Legnica";3313;2631;2584;47;0;0;12;0;0
"Powiat górowski";"";"";"";32333;26432;26190;242;1;0;99;0;0
"=""020401""";"gm. Góra";"górowski";"Wrocław";18094;14874;14809;65;0;0;58;0;0
"=""020402""";"gm. Jemielno";"górowski";"Wrocław";2844;2288;2250;38;0;0;5;0;0
"=""020403""";"gm. Niechlów";"górowski";"Wrocław";4506;3670;3633;37;0;0;19;0;0
"=""020404""";"gm. Wąsosz";"górowski";"Wrocław";6889;5600;5498;102;1;0;17;0;0
"Powiat jaworski";"";"";"";46664;38506;38265;241;1;0;150;0;0
"=""020501""";"m. Jawor";"jaworski";"Jelenia Góra";20315;17159;17093;66;0;0;65;0;0
"=""020502""";"gm. Bolków";"jaworski";"Jelenia Góra";9587;7893;7863;30;1;0;30;0;0
"=""020503""";"gm. Męcinka";"jaworski";"Jelenia Góra";5030;4013;3964;49;0;0;11;0;0
"=""020504""";"gm. Mściwojów";"jaworski";"Jelenia Góra";3885;3094;3047;47;0;0;13;0;0
"=""020505""";"gm. Paszowice";"jaworski";"Jelenia Góra";4011;3253;3232;21;0;0;9;0;0
"=""020506""";"gm. Wądroże Wielkie";"jaworski";"Jelenia Góra";3836;3094;3066;28;0;0;22;0;0
"Powiat karkonoski";"";"";"";57555;47979;47104;875;11;1;309;0;0
"=""020601""";"m. Karpacz";"karkonoski";"Jelenia Góra";4119;3533;3325;208;0;0;7;0;0
"=""020602""";"m. Kowary";"karkonoski";"Jelenia Góra";9190;7782;7735;47;0;0;18;0;0
"=""020603""";"m. Piechowice";"karkonoski";"Jelenia Góra";5497;4678;4595;83;1;0;14;0;0
"=""020604""";"m. Szklarska Poręba";"karkonoski";"Jelenia Góra";5308;4524;4399;125;0;0;60;0;0
"=""020605""";"gm. Janowice Wielkie";"karkonoski";"Jelenia Góra";3922;3164;3109;55;0;0;76;0;0
"=""020606""";"gm. Jeżów Sudecki";"karkonoski";"Jelenia Góra";7435;6016;5945;71;0;0;16;0;0
"=""020607""";"gm. Mysłakowice";"karkonoski";"Jelenia Góra";9417;7824;7719;105;7;0;23;0;0
"=""020608""";"gm. Podgórzyn";"karkonoski";"Jelenia Góra";7679;6346;6225;121;1;0;83;0;0
"=""020609""";"gm. Stara Kamienica";"karkonoski";"Jelenia Góra";4988;4112;4052;60;2;1;12;0;0
"Powiat kamiennogórski";"";"";"";39422;32867;32723;144;1;0;191;0;0
"=""020701""";"m. Kamienna Góra";"kamiennogórski";"Jelenia Góra";16498;14056;14015;41;0;0;41;0;0
"=""020702""";"gm. Kamienna Góra";"kamiennogórski";"Jelenia Góra";8665;6888;6855;33;1;0;118;0;0
"=""020703""";"gm. Lubawka";"kamiennogórski";"Jelenia Góra";10069;8449;8396;53;0;0;23;0;0
"=""020704""";"gm. Marciszów";"kamiennogórski";"Jelenia Góra";4190;3474;3457;17;0;0;9;0;0
"Powiat kłodzki";"";"";"";143179;120242;118771;1471;38;0;470;0;0
"=""020801""";"m. Duszniki-Zdrój";"kłodzki";"Wałbrzych";3947;3413;3345;68;1;0;10;0;0
"=""020802""";"m. Kłodzko";"kłodzki";"Wałbrzych";23321;19863;19626;237;3;0;32;0;0
"=""020803""";"m. Kudowa-Zdrój";"kłodzki";"Wałbrzych";8830;7443;7334;109;27;0;16;0;0
"=""020804""";"m. Nowa Ruda";"kłodzki";"Wałbrzych";19544;16657;16594;63;1;0;60;0;0
"=""020805""";"m. Polanica-Zdrój";"kłodzki";"Wałbrzych";5685;4949;4800;149;1;0;11;0;0
"=""020806""";"gm. Bystrzyca Kłodzka";"kłodzki";"Wałbrzych";17058;14320;14117;203;4;0;64;0;0
"=""020807""";"gm. Kłodzko";"kłodzki";"Wałbrzych";16262;13242;13175;67;0;0;101;0;0
"=""020808""";"gm. Lądek-Zdrój";"kłodzki";"Wałbrzych";7336;6271;6137;134;0;0;17;0;0
"=""020809""";"gm. Lewin Kłodzki";"kłodzki";"Wałbrzych";1907;1565;1507;58;0;0;7;0;0
"=""020810""";"gm. Międzylesie";"kłodzki";"Wałbrzych";6802;5585;5521;64;1;0;8;0;0
"=""020811""";"gm. Nowa Ruda";"kłodzki";"Wałbrzych";10767;8912;8827;85;0;0;56;0;0
"=""020812""";"gm. Radków";"kłodzki";"Wałbrzych";8384;6872;6796;76;0;0;50;0;0
"=""020813""";"gm. Stronie Śląskie";"kłodzki";"Wałbrzych";6537;5557;5437;120;0;0;19;0;0
"=""020814""";"gm. Szczytna";"kłodzki";"Wałbrzych";6799;5593;5555;38;0;0;19;0;0
"Powiat legnicki";"";"";"";52843;42379;41734;645;2;0;527;0;0
"=""020901""";"m. Chojnów";"legnicki";"Legnica";11918;9831;9797;34;0;0;37;0;0
"=""020902""";"gm. Chojnów";"legnicki";"Legnica";9046;7342;7226;116;0;0;26;0;0
"=""020903""";"gm. Krotoszyce";"legnicki";"Legnica";3184;2555;2498;57;0;0;10;0;0
"=""020904""";"gm. Kunice";"legnicki";"Legnica";7272;5729;5540;189;0;0;19;0;0
"=""020905""";"gm. Legnickie Pole";"legnicki";"Legnica";5185;3874;3776;98;2;0;373;0;0
"=""020906""";"gm. Miłkowice";"legnicki";"Legnica";6772;5375;5271;104;0;0;16;0;0
"=""020907""";"gm. Prochowice";"legnicki";"Legnica";6988;5687;5651;36;0;0;18;0;0
"=""020908""";"gm. Ruja";"legnicki";"Legnica";2478;1986;1975;11;0;0;28;0;0
"Powiat lubański";"";"";"";49514;41337;40963;374;5;0;150;0;0
"=""021001""";"m. Lubań";"lubański";"Jelenia Góra";18605;15828;15749;79;1;0;58;0;0
"=""021002""";"m. Świeradów-Zdrój";"lubański";"Jelenia Góra";3630;3067;3022;45;1;0;8;0;0
"=""021003""";"gm. Leśna";"lubański";"Jelenia Góra";9053;7517;7441;76;2;0;37;0;0
"=""021004""";"gm. Lubań";"lubański";"Jelenia Góra";6286;5094;5031;63;0;0;17;0;0
"=""021005""";"gm. Olszyna";"lubański";"Jelenia Góra";6061;5039;4969;70;0;0;13;0;0
"=""021006""";"gm. Platerówka";"lubański";"Jelenia Góra";1540;1255;1238;17;1;0;4;0;0
"=""021007""";"gm. Siekierczyn";"lubański";"Jelenia Góra";4339;3537;3513;24;0;0;13;0;0
"Powiat lubiński";"";"";"";97471;79835;79117;718;2;0;190;0;0
"=""021101""";"m. Lubin";"lubiński";"Legnica";63808;52934;52602;332;0;0;120;0;0
"=""021102""";"gm. Lubin";"lubiński";"Legnica";16958;13347;13204;143;1;0;31;0;0
"=""021103""";"gm. Rudna";"lubiński";"Legnica";7563;6041;5882;159;0;0;15;0;0
"=""021104""";"gm. Ścinawa";"lubiński";"Legnica";9142;7513;7429;84;1;0;24;0;0
"Powiat lwówecki";"";"";"";41745;34901;34531;370;7;0;136;0;0
"=""021201""";"gm. Gryfów Śląski";"lwówecki";"Jelenia Góra";8641;7293;7264;29;1;0;22;0;0
"=""021202""";"gm. Lubomierz";"lwówecki";"Jelenia Góra";5481;4515;4424;91;1;0;13;0;0
"=""021203""";"gm. Lwówek Śląski";"lwówecki";"Jelenia Góra";15786;13125;13017;108;1;0;36;0;0
"=""021204""";"gm. Mirsk";"lwówecki";"Jelenia Góra";7899;6678;6600;78;3;0;24;0;0
"=""021205""";"gm. Wleń";"lwówecki";"Jelenia Góra";3938;3290;3226;64;1;0;41;0;0
"Powiat milicki";"";"";"";35388;28442;28225;217;0;0;148;0;0
"=""021301""";"gm. Cieszków";"milicki";"Wrocław";4629;3660;3599;61;0;0;18;0;0
"=""021302""";"gm. Krośnice";"milicki";"Wrocław";7873;6270;6231;39;0;0;67;0;0
"=""021303""";"gm. Milicz";"milicki";"Wrocław";22886;18512;18395;117;0;0;63;0;0
"Powiat oleśnicki";"";"";"";102471;82374;81744;630;2;0;384;0;0
"=""021401""";"m. Oleśnica";"oleśnicki";"Wrocław";33643;27537;27323;214;0;0;59;0;0
"=""021402""";"gm. Bierutów";"oleśnicki";"Wrocław";9251;7556;7493;63;0;0;66;0;0
"=""021403""";"gm. Dobroszyce";"oleśnicki";"Wrocław";7043;5466;5376;90;0;0;23;0;0
"=""021404""";"gm. Dziadowa Kłoda";"oleśnicki";"Wrocław";4543;3513;3494;19;0;0;7;0;0
"=""021405""";"gm. Międzybórz";"oleśnicki";"Wrocław";5002;3977;3946;31;1;0;8;0;0
"=""021406""";"gm. Oleśnica";"oleśnicki";"Wrocław";14579;11254;11158;96;0;0;166;0;0
"=""021407""";"gm. Syców";"oleśnicki";"Wrocław";16085;13028;12961;67;1;0;34;0;0
"=""021408""";"gm. Twardogóra";"oleśnicki";"Wrocław";12325;10043;9993;50;0;0;21;0;0
"Powiat oławski";"";"";"";72376;58467;57756;711;3;0;137;0;0
"=""021501""";"m. Oława";"oławski";"Wrocław";30446;24736;24537;199;2;0;55;0;0
"=""021502""";"gm. Domaniów";"oławski";"Wrocław";5017;4093;4034;59;1;0;9;0;0
"=""021503""";"gm. Jelcz-Laskowice";"oławski";"Wrocław";21875;17635;17394;241;0;0;37;0;0
"=""021504""";"gm. Oława";"oławski";"Wrocław";15038;12003;11791;212;0;0;36;0;0
"Powiat polkowicki";"";"";"";59442;47418;46865;553;0;0;132;0;0
"=""021601""";"gm. Chocianów";"polkowicki";"Legnica";12097;9785;9645;140;0;0;31;0;0
"=""021602""";"gm. Gaworzyce";"polkowicki";"Legnica";3724;2944;2874;70;0;0;13;0;0
"=""021603""";"gm. Grębocice";"polkowicki";"Legnica";5414;4234;4214;20;0;0;8;0;0
"=""021604""";"gm. Polkowice";"polkowicki";"Legnica";25415;20235;19993;242;0;0;46;0;0
"=""021605""";"gm. Przemków";"polkowicki";"Legnica";7787;6327;6299;28;0;0;24;0;0
"=""021606""";"gm. Radwanice";"polkowicki";"Legnica";5005;3893;3840;53;0;0;10;0;0
"Powiat strzeliński";"";"";"";41402;33910;33604;306;6;0;68;0;0
"=""021701""";"gm. Borów";"strzeliński";"Wrocław";5094;4186;4143;43;0;0;5;0;0
"=""021702""";"gm. Kondratowice";"strzeliński";"Wrocław";4088;3389;3303;86;5;0;7;0;0
"=""021703""";"gm. Przeworno";"strzeliński";"Wrocław";4566;3759;3731;28;0;0;13;0;0
"=""021704""";"gm. Strzelin";"strzeliński";"Wrocław";20760;16996;16910;86;1;0;32;0;0
"=""021705""";"gm. Wiązów";"strzeliński";"Wrocław";6894;5580;5517;63;0;0;11;0;0
"Powiat średzki";"";"";"";54745;43513;42847;666;1;0;96;0;0
"=""021801""";"gm. Kostomłoty";"średzki";"Wrocław";6841;5569;5496;73;0;0;10;0;0
"=""021802""";"gm. Malczyce";"średzki";"Wrocław";5541;4557;4491;66;1;0;13;0;0
"=""021803""";"gm. Miękinia";"średzki";"Wrocław";18749;14062;13765;297;0;0;30;0;0
"=""021804""";"gm. Środa Śląska";"średzki";"Wrocław";18748;15275;15116;159;0;0;32;0;0
"=""021805""";"gm. Udanin";"średzki";"Wrocław";4866;4050;3979;71;0;0;11;0;0
"Powiat świdnicki";"";"";"";143695;119053;118457;596;14;0;383;0;0
"=""021901""";"m. Świdnica";"świdnicki";"Wałbrzych";49731;41940;41765;175;5;0;127;0;0
"=""021902""";"m. Świebodzice";"świdnicki";"Wałbrzych";20448;17076;17010;66;0;0;48;0;0
"=""021903""";"gm. Dobromierz";"świdnicki";"Wałbrzych";4902;4002;3961;41;0;0;57;0;0
"=""021904""";"gm. Jaworzyna Śląska";"świdnicki";"Wałbrzych";9847;7993;7935;58;4;0;19;0;0
"=""021905""";"gm. Marcinowice";"świdnicki";"Wałbrzych";6353;5161;5112;49;2;0;18;0;0
"=""021906""";"gm. Strzegom";"świdnicki";"Wałbrzych";23516;19604;19577;27;0;0;43;0;0
"=""021907""";"gm. Świdnica";"świdnicki";"Wałbrzych";17086;13716;13597;119;2;0;43;0;0
"=""021908""";"gm. Żarów";"świdnicki";"Wałbrzych";11812;9561;9500;61;1;0;28;0;0
"Powiat trzebnicki";"";"";"";83068;66689;65310;1379;8;0;234;0;0
"=""022001""";"gm. Oborniki Śląskie";"trzebnicki";"Wrocław";19947;16072;15655;417;1;0;116;0;0
"=""022002""";"gm. Prusice";"trzebnicki";"Wrocław";9117;7373;7215;158;0;0;15;0;0
"=""022003""";"gm. Trzebnica";"trzebnicki";"Wrocław";23509;18690;18522;168;2;0;55;0;0
"=""022004""";"gm. Wisznia Mała";"trzebnicki";"Wrocław";10743;8532;8061;471;2;0;13;0;0
"=""022005""";"gm. Zawonia";"trzebnicki";"Wrocław";5863;4708;4597;111;2;0;13;0;0
"=""022006""";"gm. Żmigród";"trzebnicki";"Wrocław";13889;11314;11260;54;1;0;22;0;0
"Powiat wałbrzyski";"";"";"";50208;42151;41762;389;4;0;78;0;0
"=""022101""";"m. Boguszów-Gorce";"wałbrzyski";"Wałbrzych";13301;11246;11205;41;3;0;19;0;0
"=""022102""";"m. Jedlina-Zdrój";"wałbrzyski";"Wałbrzych";4204;3520;3492;28;0;0;14;0;0
"=""022103""";"m. Szczawno-Zdrój";"wałbrzyski";"Wałbrzych";4974;4208;4151;57;0;0;7;0;0
"=""022104""";"gm. Czarny Bór";"wałbrzyski";"Wałbrzych";4737;3835;3789;46;0;0;4;0;0
"=""022105""";"gm. Głuszyca";"wałbrzyski";"Wałbrzych";7810;6671;6626;45;0;0;7;0;0
"=""022106""";"gm. Mieroszów";"wałbrzyski";"Wałbrzych";5836;4929;4881;48;0;0;10;0;0
"=""022107""";"gm. Stare Bogaczowice";"wałbrzyski";"Wałbrzych";4123;3366;3320;46;0;0;7;0;0
"=""022108""";"gm. Walim";"wałbrzyski";"Wałbrzych";5223;4376;4298;78;1;0;10;0;0
"Powiat wołowski";"";"";"";44013;36209;35867;342;4;0;85;0;0
"=""022201""";"gm. Brzeg Dolny";"wołowski";"Wrocław";15184;12505;12438;67;2;0;27;0;0
"=""022202""";"gm. Wińsko";"wołowski";"Wrocław";8000;6575;6431;144;2;0;11;0;0
