KOD TERYTORIALNY;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
Powiat bolesławiecki;;;;85788;69865;69381;484
020101;m. Bolesławiec;bolesławiecki;Jelenia Góra;36307;30221;30142;79
020102;gm. Bolesławiec;bolesławiecki;Jelenia Góra;14136;11303;11255;48
020103;gm. Gromadka;bolesławiecki;Jelenia Góra;5331;4392;4256;136
020104;gm. Nowogrodziec;bolesławiecki;Jelenia Góra;14827;11804;11759;45
020105;gm. Osiecznica;bolesławiecki;Jelenia Góra;6704;5374;5246;128
020106;gm. Warta Bolesławiecka;bolesławiecki;Jelenia Góra;8483;6771;6723;48
Powiat dzierżoniowski;;;;96754;80863;80415;448
020201;m. Bielawa;dzierżoniowski;Wałbrzych;28720;24340;24218;122
020202;m. Dzierżoniów;dzierżoniowski;Wałbrzych;31146;26113;26059;54
020203;m. Pieszyce;dzierżoniowski;Wałbrzych;9110;7488;7363;125
020204;m. Piława Górna;dzierżoniowski;Wałbrzych;6051;5044;5023;21
020205;gm. Dzierżoniów;dzierżoniowski;Wałbrzych;8999;7374;7360;14
020206;gm. Łagiewniki;dzierżoniowski;Wałbrzych;7365;5989;5911;78
020207;gm. Niemcza;dzierżoniowski;Wałbrzych;5363;4515;4481;34
Powiat głogowski;;;;85021;69108;68550;558
020301;m. Głogów;głogowski;Legnica;63162;51917;51709;208
020302;gm. Głogów;głogowski;Legnica;6736;5325;5229;96
020303;gm. Jerzmanowa;głogowski;Legnica;5137;3949;3820;129
020304;gm. Kotla;głogowski;Legnica;4378;3445;3415;30
020305;gm. Pęcław;głogowski;Legnica;2198;1754;1734;20
020306;gm. Żukowice;głogowski;Legnica;3410;2718;2643;75
Powiat górowski;;;;34109;27708;27388;320
020401;gm. Góra;górowski;Wrocław;19222;15609;15523;86
020402;gm. Jemielno;górowski;Wrocław;3024;2426;2387;39
020403;gm. Niechlów;górowski;Wrocław;4737;3853;3799;54
020404;gm. Wąsosz;górowski;Wrocław;7126;5820;5679;141
Powiat jaworski;;;;49066;40542;40264;278
020501;m. Jawor;jaworski;Jelenia Góra;22073;18573;18498;75
020502;gm. Bolków;jaworski;Jelenia Góra;10112;8308;8274;34
020503;gm. Męcinka;jaworski;Jelenia Góra;4916;3985;3920;65
020504;gm. Mściwojów;jaworski;Jelenia Góra;4034;3229;3190;39
020505;gm. Paszowice;jaworski;Jelenia Góra;3923;3225;3197;28
020506;gm. Wądroże Wielkie;jaworski;Jelenia Góra;4008;3222;3185;37
Powiat karkonoski;;;;60585;50270;49189;1081
020601;m. Karpacz;karkonoski;Jelenia Góra;4526;3875;3612;263
020602;m. Kowary;karkonoski;Jelenia Góra;10055;8422;8366;56
020603;m. Piechowice;karkonoski;Jelenia Góra;5944;4999;4892;107
020604;m. Szklarska Poręba;karkonoski;Jelenia Góra;5854;5006;4831;175
020605;gm. Janowice Wielkie;karkonoski;Jelenia Góra;4147;3342;3276;66
020606;gm. Jeżów Sudecki;karkonoski;Jelenia Góra;7227;5837;5744;93
020607;gm. Mysłakowice;karkonoski;Jelenia Góra;9734;8022;7909;113
020608;gm. Podgórzyn;karkonoski;Jelenia Góra;7938;6544;6406;138
020609;gm. Stara Kamienica;karkonoski;Jelenia Góra;5160;4223;4153;70
Powiat kamiennogórski;;;;42135;34936;34768;168
020701;m. Kamienna Góra;kamiennogórski;Jelenia Góra;18188;15359;15312;47
020702;gm. Kamienna Góra;kamiennogórski;Jelenia Góra;8891;7040;7001;39
020703;gm. Lubawka;kamiennogórski;Jelenia Góra;10641;8896;8837;59
020704;gm. Marciszów;kamiennogórski;Jelenia Góra;4415;3641;3618;23
Powiat kłodzki;;;;152490;127520;125755;1765
020801;m. Duszniki-Zdrój;kłodzki;Wałbrzych;4371;3742;3647;95
020802;m. Kłodzko;kłodzki;Wałbrzych;24977;21068;20853;215
020803;m. Kudowa-Zdrój;kłodzki;Wałbrzych;9472;7964;7835;129
020804;m. Nowa Ruda;kłodzki;Wałbrzych;21272;18032;17960;72
020805;m. Polanica-Zdrój;kłodzki;Wałbrzych;6149;5312;5119;193
020806;gm. Bystrzyca Kłodzka;kłodzki;Wałbrzych;18088;15148;14878;270
020807;gm. Kłodzko;kłodzki;Wałbrzych;16846;13685;13599;86
020808;gm. Lądek-Zdrój;kłodzki;Wałbrzych;7987;6759;6597;162
020809;gm. Lewin Kłodzki;kłodzki;Wałbrzych;1942;1572;1502;70
020810;gm. Międzylesie;kłodzki;Wałbrzych;7126;5836;5760;76
020811;gm. Nowa Ruda;kłodzki;Wałbrzych;11398;9423;9320;103
020812;gm. Radków;kłodzki;Wałbrzych;8793;7259;7174;85
020813;gm. Stronie Śląskie;kłodzki;Wałbrzych;6960;5904;5748;156
020814;gm. Szczytna;kłodzki;Wałbrzych;7109;5816;5763;53
Powiat legnicki;;;;53346;42973;42273;700
020901;m. Chojnów;legnicki;Legnica;12544;10445;10399;46
020902;gm. Chojnów;legnicki;Legnica;9308;7549;7395;154
020903;gm. Krotoszyce;legnicki;Legnica;3216;2589;2534;55
020904;gm. Kunice;legnicki;Legnica;6682;5283;5134;149
020905;gm. Legnickie Pole;legnicki;Legnica;5121;3873;3769;104
020906;gm. Miłkowice;legnicki;Legnica;6577;5261;5126;135
020907;gm. Prochowice;legnicki;Legnica;7308;5919;5873;46
020908;gm. Ruja;legnicki;Legnica;2590;2054;2043;11
Powiat lubański;;;;52398;43493;43061;432
021001;m. Lubań;lubański;Jelenia Góra;19854;16816;16719;97
021002;m. Świeradów-Zdrój;lubański;Jelenia Góra;3965;3329;3272;57
021003;gm. Leśna;lubański;Jelenia Góra;9764;7963;7867;96
021004;gm. Lubań;lubański;Jelenia Góra;6456;5193;5131;62
021005;gm. Olszyna;lubański;Jelenia Góra;6311;5233;5157;76
021006;gm. Platerówka;lubański;Jelenia Góra;1591;1308;1288;20
021007;gm. Siekierczyn;lubański;Jelenia Góra;4457;3651;3627;24
Powiat lubiński;;;;101345;82931;82082;849
021101;m. Lubin;lubiński;Legnica;68372;56520;56164;356
021102;gm. Lubin;lubiński;Legnica;15749;12434;12252;182
021103;gm. Rudna;lubiński;Legnica;7752;6170;5957;213
021104;gm. Ścinawa;lubiński;Legnica;9472;7807;7709;98
Powiat lwówecki;;;;44313;36913;36462;451
021201;gm. Gryfów Śląski;lwówecki;Jelenia Góra;9310;7861;7824;37
021202;gm. Lubomierz;lwówecki;Jelenia Góra;5816;4789;4665;124
021203;gm. Lwówek Śląski;lwówecki;Jelenia Góra;16714;13798;13681;117
021204;gm. Mirsk;lwówecki;Jelenia Góra;8328;6987;6892;95
021205;gm. Wleń;lwówecki;Jelenia Góra;4145;3478;3400;78
Powiat milicki;;;;36529;29174;28906;268
021301;gm. Cieszków;milicki;Wrocław;4749;3758;3685;73
021302;gm. Krośnice;milicki;Wrocław;8080;6394;6338;56
021303;gm. Milicz;milicki;Wrocław;23700;19022;18883;139
Powiat oleśnicki;;;;103890;83942;83260;682
021401;m. Oleśnica;oleśnicki;Wrocław;35309;28910;28690;220
021402;gm. Bierutów;oleśnicki;Wrocław;9758;8045;7972;73
021403;gm. Dobroszyce;oleśnicki;Wrocław;6714;5278;5175;103
021404;gm. Dziadowa Kłoda;oleśnicki;Wrocław;4585;3590;3567;23
021405;gm. Międzybórz;oleśnicki;Wrocław;5045;4002;3964;38
021406;gm. Oleśnica;oleśnicki;Wrocław;13422;10551;10449;102
021407;gm. Syców;oleśnicki;Wrocław;16358;13214;13151;63
021408;gm. Twardogóra;oleśnicki;Wrocław;12699;10352;10292;60
Powiat oławski;;;;73680;59529;58891;638
021501;m. Oława;oławski;Wrocław;31267;25460;25285;175
021502;gm. Domaniów;oławski;Wrocław;5192;4171;4103;68
021503;gm. Jelcz-Laskowice;oławski;Wrocław;22263;17986;17741;245
021504;gm. Oława;oławski;Wrocław;14958;11912;11762;150
Powiat polkowicki;;;;60592;48557;47881;676
021601;gm. Chocianów;polkowicki;Legnica;12512;10149;9989;160
021602;gm. Gaworzyce;polkowicki;Legnica;3851;3059;2982;77
021603;gm. Grębocice;polkowicki;Legnica;5340;4195;4171;24
021604;gm. Polkowice;polkowicki;Legnica;25962;20710;20396;314
021605;gm. Przemków;polkowicki;Legnica;8127;6656;6627;29
021606;gm. Radwanice;polkowicki;Legnica;4800;3788;3716;72
Powiat strzeliński;;;;42833;35087;34724;363
021701;gm. Borów;strzeliński;Wrocław;5241;4335;4282;53
021702;gm. Kondratowice;strzeliński;Wrocław;4345;3538;3448;90
021703;gm. Przeworno;strzeliński;Wrocław;4775;3919;3879;40
021704;gm. Strzelin;strzeliński;Wrocław;21275;17476;17378;98
021705;gm. Wiązów;strzeliński;Wrocław;7197;5819;5737;82
Powiat średzki;;;;53265;42756;41988;768
021801;gm. Kostomłoty;średzki;Wrocław;7041;5714;5622;92
021802;gm. Malczyce;średzki;Wrocław;5703;4703;4622;81
021803;gm. Miękinia;średzki;Wrocław;16286;12524;12202;322
021804;gm. Środa Śląska;średzki;Wrocław;19097;15567;15385;182
021805;gm. Udanin;średzki;Wrocław;5138;4248;4157;91
Powiat świdnicki;;;;150703;124700;123938;762
021901;m. Świdnica;świdnicki;Wałbrzych;53344;44755;44549;206
021902;m. Świebodzice;świdnicki;Wałbrzych;21476;17814;17731;83
021903;gm. Dobromierz;świdnicki;Wałbrzych;5153;4234;4166;68
021904;gm. Jaworzyna Śląska;świdnicki;Wałbrzych;10148;8306;8235;71
021905;gm. Marcinowice;świdnicki;Wałbrzych;6354;5181;5116;65
021906;gm. Strzegom;świdnicki;Wałbrzych;25059;20821;20778;43
021907;gm. Świdnica;świdnicki;Wałbrzych;16917;13632;13499;133
021908;gm. Żarów;świdnicki;Wałbrzych;12252;9957;9864;93
Powiat trzebnicki;;;;83083;66824;65302;1522
022001;gm. Oborniki Śląskie;trzebnicki;Wrocław;19777;16008;15538;470
