Kod TERYT;Gmina;Powiat;Delegatura;Liczba mieszkańców;Liczba wyborców ogółem;Liczba wyborców wpisanych z urzędu;Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek
Powiat bolesławiecki;;;;83336;67930;67543;387
020101;m. Bolesławiec;bolesławiecki;Jelenia Góra;34491;28869;28801;68
020102;gm. Bolesławiec;bolesławiecki;Jelenia Góra;14657;11597;11555;42
020103;gm. Gromadka;bolesławiecki;Jelenia Góra;5113;4181;4082;99
020104;gm. Nowogrodziec;bolesławiecki;Jelenia Góra;14407;11480;11439;41
020105;gm. Osiecznica;bolesławiecki;Jelenia Góra;6475;5242;5136;106
020106;gm. Warta Bolesławiecka;bolesławiecki;Jelenia Góra;8193;6561;6530;31
Powiat dzierżoniowski;;;;90648;75931;75507;424
020201;m. Bielawa;dzierżoniowski;Wałbrzych;26792;22677;22558;119
020202;m. Dzierżoniów;dzierżoniowski;Wałbrzych;28710;24321;24256;65
020203;gm. Pieszyce;dzierżoniowski;Wałbrzych;8557;7073;6975;98
020204;m. Piława Górna;dzierżoniowski;Wałbrzych;5714;4729;4713;16
020205;gm. Dzierżoniów;dzierżoniowski;Wałbrzych;8745;7121;7104;17
020206;gm. Łagiewniki;dzierżoniowski;Wałbrzych;7156;5833;5754;79
020207;gm. Niemcza;dzierżoniowski;Wałbrzych;4974;4177;4147;30
Powiat głogowski;;;;81281;66425;65952;473
020301;m. Głogów;głogowski;Legnica;58982;48943;48762;181
020302;gm. Głogów;głogowski;Legnica;6966;5489;5387;102
020303;gm. Jerzmanowa;głogowski;Legnica;5607;4289;4187;102
020304;gm. Kotla;głogowski;Legnica;4331;3414;3386;28
020305;gm. Pęcław;głogowski;Legnica;2082;1659;1646;13
020306;gm. Żukowice;głogowski;Legnica;3313;2631;2584;47
Powiat górowski;;;;32333;26432;26190;242
020401;gm. Góra;górowski;Wrocław;18094;14874;14809;65
020402;gm. Jemielno;górowski;Wrocław;2844;2288;2250;38
020403;gm. Niechlów;górowski;Wrocław;4506;3670;3633;37
020404;gm. Wąsosz;górowski;Wrocław;6889;5600;5498;102
Powiat jaworski;;;;46664;38506;38265;241
020501;m. Jawor;jaworski;Jelenia Góra;20315;17159;17093;66
020502;gm. Bolków;jaworski;Jelenia Góra;9587;7893;7863;30
020503;gm. Męcinka;jaworski;Jelenia Góra;5030;4013;3964;49
020504;gm. Mściwojów;jaworski;Jelenia Góra;3885;3094;3047;47
020505;gm. Paszowice;jaworski;Jelenia Góra;4011;3253;3232;21
020506;gm. Wądroże Wielkie;jaworski;Jelenia Góra;3836;3094;3066;28
Powiat karkonoski;;;;57555;47979;47104;875
020601;m. Karpacz;karkonoski;Jelenia Góra;4119;3533;3325;208
020602;m. Kowary;karkonoski;Jelenia Góra;9190;7782;7735;47
020603;m. Piechowice;karkonoski;Jelenia Góra;5497;4678;4595;83
020604;m. Szklarska Poręba;karkonoski;Jelenia Góra;5308;4524;4399;125
020605;gm. Janowice Wielkie;karkonoski;Jelenia Góra;3922;3164;3109;55
020606;gm. Jeżów Sudecki;karkonoski;Jelenia Góra;7435;6016;5945;71
020607;gm. Mysłakowice;karkonoski;Jelenia Góra;9417;7824;7719;105
020608;gm. Podgórzyn;karkonoski;Jelenia Góra;7679;6346;6225;121
020609;gm. Stara Kamienica;karkonoski;Jelenia Góra;4988;4112;4052;60
Powiat kamiennogórski;;;;39422;32867;32723;144
020701;m. Kamienna Góra;kamiennogórski;Jelenia Góra;16498;14056;14015;41
020702;gm. Kamienna Góra;kamiennogórski;Jelenia Góra;8665;6888;6855;33
020703;gm. Lubawka;kamiennogórski;Jelenia Góra;10069;8449;8396;53
020704;gm. Marciszów;kamiennogórski;Jelenia Góra;4190;3474;3457;17
Powiat kłodzki;;;;143179;120242;118771;1471
020801;m. Duszniki-Zdrój;kłodzki;Wałbrzych;3947;3413;3345;68
020802;m. Kłodzko;kłodzki;Wałbrzych;23321;19863;19626;237
020803;m. Kudowa-Zdrój;kłodzki;Wałbrzych;8830;7443;7334;109
020804;m. Nowa Ruda;kłodzki;Wałbrzych;19544;16657;16594;63
020805;m. Polanica-Zdrój;kłodzki;Wałbrzych;5685;4949;4800;149
020806;gm. Bystrzyca Kłodzka;kłodzki;Wałbrzych;17058;14320;14117;203
020807;gm. Kłodzko;kłodzki;Wałbrzych;16262;13242;13175;67
